dataset,case_id,model,structural_category,prediction,is_dataset_cco,confidence
AVeriTeC,89,claude-haiku-4-5,material_mixed,conflicting,0,0.95
AVeriTeC,89,claude-sonnet-4-5,material_mixed,conflicting,0,0.92
AVeriTeC,89,gpt-4o-mini,material_mixed,conflicting,0,0.85
AVeriTeC,92,claude-haiku-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,92,claude-sonnet-4-5,material_mixed,conflicting,0,0.95
AVeriTeC,92,gpt-4o-mini,material_mixed,conflicting,0,0.85
AVeriTeC,94,claude-haiku-4-5,refute_only,refute,1,0.85
AVeriTeC,94,claude-sonnet-4-5,refute_only,refute,1,0.85
AVeriTeC,94,gpt-4o-mini,refute_only,refute,1,0.9
AVeriTeC,95,claude-haiku-4-5,separate_support_and_refute,conflicting,0,0.95
AVeriTeC,95,claude-sonnet-4-5,separate_support_and_refute,conflicting,0,0.95
AVeriTeC,95,gpt-4o-mini,separate_support_and_refute,conflicting,0,0.8
AVeriTeC,96,claude-haiku-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,96,claude-sonnet-4-5,material_mixed,conflicting,0,0.92
AVeriTeC,96,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,97,claude-haiku-4-5,material_mixed,conflicting,0,0.92
AVeriTeC,97,claude-sonnet-4-5,material_mixed,conflicting,0,0.95
AVeriTeC,97,gpt-4o-mini,material_mixed,conflicting,0,0.7
AVeriTeC,99,claude-haiku-4-5,separate_support_and_refute,conflicting,0,0.95
AVeriTeC,99,claude-sonnet-4-5,separate_support_and_refute,conflicting,0,0.95
AVeriTeC,99,gpt-4o-mini,separate_support_and_refute,conflicting,0,0.8
AVeriTeC,100,claude-haiku-4-5,separate_support_and_refute,conflicting,0,0.92
AVeriTeC,100,claude-sonnet-4-5,separate_support_and_refute,conflicting,0,0.92
AVeriTeC,100,gpt-4o-mini,separate_support_and_refute,conflicting,0,0.8
AVeriTeC,101,claude-haiku-4-5,refute_only,refute,1,0.92
AVeriTeC,101,claude-sonnet-4-5,refute_only,refute,1,0.92
AVeriTeC,101,gpt-4o-mini,refute_only,conflicting,0,0.8
AVeriTeC,103,claude-haiku-4-5,material_mixed,insufficient,0,0.95
AVeriTeC,103,claude-sonnet-4-5,material_mixed,insufficient,0,0.85
AVeriTeC,103,gpt-4o-mini,material_mixed,insufficient,0,0.7
AVeriTeC,105,claude-haiku-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,105,claude-sonnet-4-5,material_mixed,conflicting,0,0.9
AVeriTeC,105,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,107,claude-haiku-4-5,refute_only,refute,1,0.98
AVeriTeC,107,claude-sonnet-4-5,refute_only,refute,1,0.95
AVeriTeC,107,gpt-4o-mini,refute_only,refute,1,0.9
AVeriTeC,108,claude-haiku-4-5,material_mixed,conflicting,0,0.92
AVeriTeC,108,claude-sonnet-4-5,material_mixed,conflicting,0,0.92
AVeriTeC,108,gpt-4o-mini,material_mixed,conflicting,0,0.85
AVeriTeC,109,claude-haiku-4-5,material_mixed,refute,1,0.92
AVeriTeC,109,claude-sonnet-4-5,material_mixed,conflicting,0,0.95
AVeriTeC,109,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,112,claude-haiku-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,112,claude-sonnet-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,112,gpt-4o-mini,material_mixed,support,1,0.9
AVeriTeC,113,claude-haiku-4-5,refute_only,refute,1,0.95
AVeriTeC,113,claude-sonnet-4-5,refute_only,refute,1,0.95
AVeriTeC,113,gpt-4o-mini,refute_only,refute,1,0.95
AVeriTeC,115,claude-haiku-4-5,directional_plus_insufficient,refute,1,0.85
AVeriTeC,115,claude-sonnet-4-5,directional_plus_insufficient,conflicting,0,0.75
AVeriTeC,115,gpt-4o-mini,directional_plus_insufficient,conflicting,0,0.8
AVeriTeC,116,claude-haiku-4-5,separate_support_and_refute,conflicting,0,0.85
AVeriTeC,116,claude-sonnet-4-5,separate_support_and_refute,conflicting,0,0.92
AVeriTeC,116,gpt-4o-mini,separate_support_and_refute,conflicting,0,0.8
AVeriTeC,118,claude-haiku-4-5,material_mixed,support,1,0.85
AVeriTeC,118,claude-sonnet-4-5,material_mixed,support,1,0.85
AVeriTeC,118,gpt-4o-mini,material_mixed,support,1,0.9
AVeriTeC,120,claude-haiku-4-5,material_mixed,refute,1,0.95
AVeriTeC,120,claude-sonnet-4-5,material_mixed,refute,1,0.95
AVeriTeC,120,gpt-4o-mini,material_mixed,refute,1,0.9
AVeriTeC,121,claude-haiku-4-5,material_mixed,conflicting,0,0.75
AVeriTeC,121,claude-sonnet-4-5,material_mixed,insufficient,0,0.75
AVeriTeC,121,gpt-4o-mini,material_mixed,support,1,0.9
AVeriTeC,124,claude-haiku-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,124,claude-sonnet-4-5,material_mixed,conflicting,0,0.92
AVeriTeC,124,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,126,claude-haiku-4-5,material_mixed,refute,1,0.85
AVeriTeC,126,claude-sonnet-4-5,material_mixed,refute,1,0.92
AVeriTeC,126,gpt-4o-mini,material_mixed,refute,1,0.9
AVeriTeC,127,claude-haiku-4-5,support_only,conflicting,0,0.85
AVeriTeC,127,claude-sonnet-4-5,support_only,support,1,0.95
AVeriTeC,127,gpt-4o-mini,support_only,support,1,0.95
AVeriTeC,130,claude-haiku-4-5,material_mixed,refute,1,0.95
AVeriTeC,130,claude-sonnet-4-5,material_mixed,conflicting,0,0.92
AVeriTeC,130,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,132,claude-haiku-4-5,separate_support_and_refute,conflicting,0,0.95
AVeriTeC,132,claude-sonnet-4-5,separate_support_and_refute,refute,1,0.92
AVeriTeC,132,gpt-4o-mini,separate_support_and_refute,conflicting,0,0.9
AVeriTeC,134,claude-haiku-4-5,material_mixed,conflicting,0,0.95
AVeriTeC,134,claude-sonnet-4-5,material_mixed,conflicting,0,0.95
AVeriTeC,134,gpt-4o-mini,material_mixed,conflicting,0,0.9
AVeriTeC,135,claude-haiku-4-5,separate_support_and_refute,conflicting,0,0.95
AVeriTeC,135,claude-sonnet-4-5,separate_support_and_refute,conflicting,0,0.95
AVeriTeC,135,gpt-4o-mini,separate_support_and_refute,conflicting,0,0.8
AVeriTeC,136,claude-haiku-4-5,separate_support_and_refute,conflicting,0,0.92
AVeriTeC,136,claude-sonnet-4-5,separate_support_and_refute,refute,1,0.95
AVeriTeC,136,gpt-4o-mini,separate_support_and_refute,refute,1,0.9
AVeriTeC,137,claude-haiku-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,137,claude-sonnet-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,137,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,141,claude-haiku-4-5,material_mixed,insufficient,0,0.75
AVeriTeC,141,claude-sonnet-4-5,material_mixed,conflicting,0,0.92
AVeriTeC,141,gpt-4o-mini,material_mixed,conflicting,0,0.85
AVeriTeC,143,claude-haiku-4-5,material_mixed,conflicting,0,0.92
AVeriTeC,143,claude-sonnet-4-5,material_mixed,conflicting,0,0.95
AVeriTeC,143,gpt-4o-mini,material_mixed,refute,1,0.9
AVeriTeC,144,claude-haiku-4-5,material_mixed,refute,1,0.95
AVeriTeC,144,claude-sonnet-4-5,material_mixed,conflicting,0,0.92
AVeriTeC,144,gpt-4o-mini,material_mixed,conflicting,0,0.85
AVeriTeC,147,claude-haiku-4-5,material_mixed,conflicting,0,0.78
AVeriTeC,147,claude-sonnet-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,147,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,148,claude-haiku-4-5,material_mixed,refute,1,0.92
AVeriTeC,148,claude-sonnet-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,148,gpt-4o-mini,material_mixed,refute,1,0.9
AVeriTeC,149,claude-haiku-4-5,refute_only,refute,1,0.85
AVeriTeC,149,claude-sonnet-4-5,refute_only,refute,1,0.85
AVeriTeC,149,gpt-4o-mini,refute_only,refute,1,0.8
AVeriTeC,152,claude-haiku-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,152,claude-sonnet-4-5,material_mixed,conflicting,0,0.92
AVeriTeC,152,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,154,claude-haiku-4-5,support_only,support,1,0.95
AVeriTeC,154,claude-sonnet-4-5,support_only,support,1,0.95
AVeriTeC,154,gpt-4o-mini,support_only,conflicting,0,0.7
AVeriTeC,155,claude-haiku-4-5,material_mixed,conflicting,0,0.92
AVeriTeC,155,claude-sonnet-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,155,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,157,claude-haiku-4-5,directional_plus_insufficient,refute,1,0.98
AVeriTeC,157,claude-sonnet-4-5,directional_plus_insufficient,parse_failure,0,
AVeriTeC,157,gpt-4o-mini,directional_plus_insufficient,refute,1,0.95
AVeriTeC,159,claude-haiku-4-5,material_mixed,conflicting,0,0.92
AVeriTeC,159,claude-sonnet-4-5,material_mixed,conflicting,0,0.92
AVeriTeC,159,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,160,claude-haiku-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,160,claude-sonnet-4-5,material_mixed,conflicting,0,0.9
AVeriTeC,160,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,161,claude-haiku-4-5,directional_plus_insufficient,insufficient,0,0.85
AVeriTeC,161,claude-sonnet-4-5,directional_plus_insufficient,conflicting,0,0.85
AVeriTeC,161,gpt-4o-mini,directional_plus_insufficient,conflicting,0,0.8
AVeriTeC,162,claude-haiku-4-5,directional_plus_insufficient,insufficient,0,0.85
AVeriTeC,162,claude-sonnet-4-5,directional_plus_insufficient,insufficient,0,0.75
AVeriTeC,162,gpt-4o-mini,directional_plus_insufficient,conflicting,0,0.7
AVeriTeC,163,claude-haiku-4-5,material_mixed,conflicting,0,0.75
AVeriTeC,163,claude-sonnet-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,163,gpt-4o-mini,material_mixed,conflicting,0,0.7
AVeriTeC,164,claude-haiku-4-5,directional_plus_insufficient,conflicting,0,0.85
AVeriTeC,164,claude-sonnet-4-5,directional_plus_insufficient,conflicting,0,0.92
AVeriTeC,164,gpt-4o-mini,directional_plus_insufficient,conflicting,0,0.8
AVeriTeC,166,claude-haiku-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,166,claude-sonnet-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,166,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,167,claude-haiku-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,167,claude-sonnet-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,167,gpt-4o-mini,material_mixed,support,1,0.9
AVeriTeC,169,claude-haiku-4-5,directional_plus_insufficient,refute,1,0.92
AVeriTeC,169,claude-sonnet-4-5,directional_plus_insufficient,refute,1,0.95
AVeriTeC,169,gpt-4o-mini,directional_plus_insufficient,refute,1,0.9
AVeriTeC,171,claude-haiku-4-5,separate_support_and_refute,conflicting,0,0.95
AVeriTeC,171,claude-sonnet-4-5,separate_support_and_refute,conflicting,0,0.95
AVeriTeC,171,gpt-4o-mini,separate_support_and_refute,conflicting,0,0.9
AVeriTeC,176,claude-haiku-4-5,material_mixed,support,1,0.92
AVeriTeC,176,claude-sonnet-4-5,material_mixed,support,1,0.95
AVeriTeC,176,gpt-4o-mini,material_mixed,support,1,0.9
AVeriTeC,178,claude-haiku-4-5,separate_support_and_refute,conflicting,0,0.95
AVeriTeC,178,claude-sonnet-4-5,separate_support_and_refute,conflicting,0,0.95
AVeriTeC,178,gpt-4o-mini,separate_support_and_refute,refute,1,0.95
AVeriTeC,179,claude-haiku-4-5,material_mixed,refute,1,0.85
AVeriTeC,179,claude-sonnet-4-5,material_mixed,refute,1,0.92
AVeriTeC,179,gpt-4o-mini,material_mixed,conflicting,0,0.7
AVeriTeC,180,claude-haiku-4-5,material_mixed,refute,1,0.92
AVeriTeC,180,claude-sonnet-4-5,material_mixed,conflicting,0,0.75
AVeriTeC,180,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,183,claude-haiku-4-5,material_mixed,conflicting,0,0.75
AVeriTeC,183,claude-sonnet-4-5,material_mixed,conflicting,0,0.75
AVeriTeC,183,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,191,claude-haiku-4-5,material_mixed,conflicting,0,0.92
AVeriTeC,191,claude-sonnet-4-5,material_mixed,conflicting,0,0.95
AVeriTeC,191,gpt-4o-mini,material_mixed,conflicting,0,0.7
AVeriTeC,192,claude-haiku-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,192,claude-sonnet-4-5,material_mixed,conflicting,0,0.92
AVeriTeC,192,gpt-4o-mini,material_mixed,conflicting,0,0.85
AVeriTeC,193,claude-haiku-4-5,material_mixed,conflicting,0,0.92
AVeriTeC,193,claude-sonnet-4-5,material_mixed,conflicting,0,0.92
AVeriTeC,193,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,194,claude-haiku-4-5,material_mixed,refute,1,0.85
AVeriTeC,194,claude-sonnet-4-5,material_mixed,refute,1,0.85
AVeriTeC,194,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,195,claude-haiku-4-5,support_only,conflicting,0,0.85
AVeriTeC,195,claude-sonnet-4-5,support_only,conflicting,0,0.92
AVeriTeC,195,gpt-4o-mini,support_only,conflicting,0,0.8
AVeriTeC,197,claude-haiku-4-5,separate_support_and_refute,conflicting,0,0.95
AVeriTeC,197,claude-sonnet-4-5,separate_support_and_refute,conflicting,0,0.95
AVeriTeC,197,gpt-4o-mini,separate_support_and_refute,conflicting,0,0.9
AVeriTeC,199,claude-haiku-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,199,claude-sonnet-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,199,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,201,claude-haiku-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,201,claude-sonnet-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,201,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,204,claude-haiku-4-5,material_mixed,conflicting,0,0.95
AVeriTeC,204,claude-sonnet-4-5,material_mixed,conflicting,0,0.95
AVeriTeC,204,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,205,claude-haiku-4-5,material_mixed,conflicting,0,0.65
AVeriTeC,205,claude-sonnet-4-5,material_mixed,conflicting,0,0.75
AVeriTeC,205,gpt-4o-mini,material_mixed,refute,1,0.9
AVeriTeC,206,claude-haiku-4-5,material_mixed,support,1,0.95
AVeriTeC,206,claude-sonnet-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,206,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,207,claude-haiku-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,207,claude-sonnet-4-5,material_mixed,refute,1,0.85
AVeriTeC,207,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,208,claude-haiku-4-5,material_mixed,conflicting,0,0.75
AVeriTeC,208,claude-sonnet-4-5,material_mixed,conflicting,0,0.9
AVeriTeC,208,gpt-4o-mini,material_mixed,conflicting,0,0.7
AVeriTeC,213,claude-haiku-4-5,separate_support_and_refute,refute,1,0.85
AVeriTeC,213,claude-sonnet-4-5,separate_support_and_refute,conflicting,0,0.92
AVeriTeC,213,gpt-4o-mini,separate_support_and_refute,conflicting,0,0.85
AVeriTeC,214,claude-haiku-4-5,insufficient_only,refute,1,0.75
AVeriTeC,214,claude-sonnet-4-5,insufficient_only,conflicting,0,0.85
AVeriTeC,214,gpt-4o-mini,insufficient_only,conflicting,0,0.8
AVeriTeC,215,claude-haiku-4-5,refute_only,conflicting,0,0.95
AVeriTeC,215,claude-sonnet-4-5,refute_only,conflicting,0,0.95
AVeriTeC,215,gpt-4o-mini,refute_only,conflicting,0,0.7
AVeriTeC,217,claude-haiku-4-5,separate_support_and_refute,conflicting,0,0.95
AVeriTeC,217,claude-sonnet-4-5,separate_support_and_refute,parse_failure,0,
AVeriTeC,217,gpt-4o-mini,separate_support_and_refute,refute,1,0.9
AVeriTeC,219,claude-haiku-4-5,material_mixed,conflicting,0,0.78
AVeriTeC,219,claude-sonnet-4-5,material_mixed,conflicting,0,0.75
AVeriTeC,219,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,222,claude-haiku-4-5,material_mixed,conflicting,0,0.75
AVeriTeC,222,claude-sonnet-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,222,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,228,claude-haiku-4-5,refute_only,conflicting,0,0.75
AVeriTeC,228,claude-sonnet-4-5,refute_only,conflicting,0,0.85
AVeriTeC,228,gpt-4o-mini,refute_only,conflicting,0,0.8
AVeriTeC,231,claude-haiku-4-5,material_mixed,conflicting,0,0.92
