dataset,case_id,label,split,sample_group,claim_characters,claim_whitespace_tokens,evidence_characters,evidence_whitespace_tokens,evidence_units,rendered_prompt_characters
AVeriTeC,50,refute,dev,Refuted,114,19,2224,376,2,4311
AVeriTeC,51,insufficient,dev,Not Enough Evidence,64,13,710,114,3,2747
AVeriTeC,52,refute,dev,Refuted,44,7,864,152,5,2881
AVeriTeC,53,support,dev,Supported,88,13,1576,260,7,3637
AVeriTeC,54,conflicting,dev,Conflicting-dev-all,105,18,1451,240,4,3529
AVeriTeC,55,insufficient,dev,Not Enough Evidence,42,6,461,70,2,2476
AVeriTeC,56,conflicting,train,Conflicting-train,57,8,392,71,1,2422
AVeriTeC,57,support,dev,Supported,56,9,563,93,5,2592
AVeriTeC,58,conflicting,train,Conflicting-train,124,19,2552,429,6,4649
AVeriTeC,59,insufficient,dev,Not Enough Evidence,109,18,432,80,2,2514
AVeriTeC,60,support,dev,Supported,56,9,292,45,2,2321
AVeriTeC,61,refute,dev,Refuted,66,11,273,49,2,2312
AVeriTeC,62,support,dev,Supported,82,14,1270,209,1,3325
AVeriTeC,63,conflicting,dev,Conflicting-dev-all,161,27,1209,206,2,3343
AVeriTeC,64,conflicting,train,Conflicting-train,34,6,2711,444,5,4718
AVeriTeC,65,refute,dev,Refuted,161,25,164,26,2,2298
AVeriTeC,66,conflicting,train,Conflicting-train,78,10,1035,182,3,3086
AVeriTeC,67,conflicting,dev,Conflicting-dev-all,97,17,1210,193,3,3280
AVeriTeC,68,support,dev,Supported,105,19,153,29,2,2231
AVeriTeC,69,conflicting,dev,Conflicting-dev-all,25,4,2184,357,4,4182
AVeriTeC,70,conflicting,train,Conflicting-train,67,10,739,130,2,2779
AVeriTeC,71,support,dev,Supported,214,43,220,43,2,2407
AVeriTeC,72,support,dev,Supported,82,12,380,58,2,2435
AVeriTeC,73,refute,dev,Refuted,68,13,427,72,2,2468
AVeriTeC,74,conflicting,dev,Conflicting-dev-all,259,42,1885,300,3,4117
AVeriTeC,75,conflicting,train,Conflicting-train,73,19,1979,361,10,4025
AVeriTeC,76,insufficient,dev,Not Enough Evidence,210,32,664,107,2,2847
AVeriTeC,77,support,dev,Supported,114,18,615,105,4,2702
AVeriTeC,78,refute,dev,Refuted,68,13,273,48,2,2314
AVeriTeC,79,conflicting,dev,Conflicting-dev-all,157,25,708,117,2,2838
AVeriTeC,80,support,dev,Supported,57,9,459,74,4,2489
AVeriTeC,81,conflicting,train,Conflicting-train,66,8,765,120,2,2804
AVeriTeC,82,support,dev,Supported,101,15,370,59,1,2444
AVeriTeC,83,refute,dev,Refuted,103,16,1687,275,3,3763
AVeriTeC,84,conflicting,train,Conflicting-train,110,17,1415,240,12,3498
AVeriTeC,85,refute,dev,Refuted,126,21,1136,198,5,3235
AVeriTeC,86,support,dev,Supported,61,9,260,41,1,2294
AVeriTeC,87,conflicting,train,Conflicting-train,149,28,1218,208,4,3340
AVeriTeC,88,insufficient,dev,Not Enough Evidence,100,17,317,60,3,2390
AVeriTeC,89,conflicting,train,Conflicting-train,228,37,1757,303,5,3958
AVeriTeC,90,refute,dev,Refuted,117,17,538,85,3,2628
AVeriTeC,91,insufficient,dev,Not Enough Evidence,59,11,257,46,2,2289
AVeriTeC,92,conflicting,train,Conflicting-train,127,21,1995,332,5,4095
AVeriTeC,93,refute,dev,Refuted,68,12,325,56,1,2366
AVeriTeC,94,conflicting,train,Conflicting-train,62,11,2058,375,5,4093
AVeriTeC,95,conflicting,train,Conflicting-train,104,20,739,113,3,2816
AVeriTeC,96,conflicting,train,Conflicting-train,37,5,3362,594,2,5372
AVeriTeC,97,conflicting,train,Conflicting-train,104,21,1324,241,2,3401
AVeriTeC,98,support,dev,Supported,79,14,329,60,1,2381
AVeriTeC,99,conflicting,dev,Conflicting-dev-all,93,16,219,39,2,2285
AVeriTeC,100,conflicting,train,Conflicting-train,63,13,837,156,4,2873
AVeriTeC,101,conflicting,train,Conflicting-train,57,9,1179,218,3,3209
AVeriTeC,102,refute,dev,Refuted,162,24,756,125,2,2891
AVeriTeC,103,conflicting,train,Conflicting-train,57,13,921,168,5,2951
AVeriTeC,104,support,dev,Supported,52,9,1145,193,3,3170
AVeriTeC,105,conflicting,dev,Conflicting-dev-all,75,16,1020,154,4,3068
AVeriTeC,106,insufficient,dev,Not Enough Evidence,73,14,2516,413,3,4562
AVeriTeC,107,conflicting,train,Conflicting-train,45,9,741,127,4,2759
AVeriTeC,108,conflicting,dev,Conflicting-dev-all,50,11,1118,211,2,3141
AVeriTeC,109,conflicting,dev,Conflicting-dev-all,39,6,1355,216,3,3367
AVeriTeC,110,support,dev,Supported,43,7,2491,424,4,4507
AVeriTeC,111,refute,dev,Refuted,201,32,530,95,3,2704
AVeriTeC,112,conflicting,train,Conflicting-train,35,6,129,22,1,2137
AVeriTeC,113,conflicting,dev,Conflicting-dev-all,128,21,625,103,3,2726
AVeriTeC,114,support,dev,Supported,153,29,339,62,3,2465
AVeriTeC,115,conflicting,train,Conflicting-train,61,10,1393,219,2,3427
AVeriTeC,116,conflicting,train,Conflicting-train,205,37,725,130,3,2903
AVeriTeC,117,support,dev,Supported,59,7,801,137,2,2833
AVeriTeC,118,conflicting,train,Conflicting-train,144,25,2087,343,4,4204
AVeriTeC,119,insufficient,dev,Not Enough Evidence,54,8,269,46,2,2296
AVeriTeC,120,conflicting,train,Conflicting-train,149,26,1295,218,3,3417
AVeriTeC,121,conflicting,dev,Conflicting-dev-all,390,66,419,72,2,2782
AVeriTeC,122,insufficient,dev,Not Enough Evidence,142,23,780,123,2,2895
AVeriTeC,123,support,dev,Supported,64,11,354,54,2,2391
AVeriTeC,124,conflicting,train,Conflicting-train,125,19,1618,266,4,3716
AVeriTeC,125,insufficient,dev,Not Enough Evidence,46,10,520,92,4,2539
AVeriTeC,126,conflicting,train,Conflicting-train,131,18,1686,270,6,3790
AVeriTeC,127,conflicting,dev,Conflicting-dev-all,140,25,780,125,2,2893
AVeriTeC,128,insufficient,dev,Not Enough Evidence,73,12,385,73,3,2431
AVeriTeC,129,support,dev,Supported,51,8,42,8,1,2066
AVeriTeC,130,conflicting,train,Conflicting-train,64,10,827,148,5,2864
AVeriTeC,131,support,dev,Supported,95,11,82,13,1,2150
AVeriTeC,132,conflicting,train,Conflicting-train,131,22,1964,352,9,4068
AVeriTeC,133,refute,dev,Refuted,82,13,771,126,4,2826
AVeriTeC,134,conflicting,dev,Conflicting-dev-all,73,15,730,135,4,2776
AVeriTeC,135,conflicting,train,Conflicting-train,86,17,697,111,3,2756
AVeriTeC,136,conflicting,train,Conflicting-train,99,16,713,123,1,2785
AVeriTeC,137,conflicting,train,Conflicting-train,76,12,398,63,2,2447
AVeriTeC,138,support,dev,Supported,85,13,237,41,1,2295
AVeriTeC,139,support,dev,Supported,85,16,288,53,3,2346
AVeriTeC,140,insufficient,dev,Not Enough Evidence,151,29,348,58,2,2472
AVeriTeC,141,conflicting,train,Conflicting-train,132,22,1930,303,5,4035
AVeriTeC,142,support,dev,Supported,163,26,685,117,3,2821
AVeriTeC,143,conflicting,train,Conflicting-train,88,14,467,82,4,2528
AVeriTeC,144,conflicting,train,Conflicting-train,157,27,800,133,3,2930
AVeriTeC,145,refute,dev,Refuted,182,29,617,98,2,2772
AVeriTeC,146,insufficient,dev,Not Enough Evidence,49,9,164,35,2,2186
AVeriTeC,147,conflicting,train,Conflicting-train,56,9,1988,326,5,4017
AVeriTeC,148,conflicting,train,Conflicting-train,70,13,2122,372,3,4165
AVeriTeC,149,conflicting,dev,Conflicting-dev-all,68,13,174,33,1,2215
AVeriTeC,150,refute,dev,Refuted,123,22,484,81,2,2580
AVeriTeC,151,insufficient,dev,Not Enough Evidence,143,23,711,132,4,2827
AVeriTeC,152,conflicting,train,Conflicting-train,47,6,1760,298,4,3780
AVeriTeC,153,insufficient,dev,Not Enough Evidence,54,12,398,69,2,2425
AVeriTeC,154,conflicting,train,Conflicting-train,79,13,251,46,2,2303
AVeriTeC,155,conflicting,dev,Conflicting-dev-all,101,16,3685,556,7,5759
AVeriTeC,156,insufficient,dev,Not Enough Evidence,62,9,256,43,2,2291
AVeriTeC,157,conflicting,dev,Conflicting-dev-all,48,9,1415,227,3,3436
AVeriTeC,158,refute,dev,Refuted,165,28,632,100,3,2770
AVeriTeC,159,conflicting,train,Conflicting-train,127,20,1757,273,6,3857
AVeriTeC,160,conflicting,train,Conflicting-train,72,10,1161,177,2,3206
AVeriTeC,161,conflicting,train,Conflicting-train,121,25,879,154,3,2973
AVeriTeC,162,conflicting,train,Conflicting-train,128,22,712,123,3,2813
AVeriTeC,163,conflicting,train,Conflicting-train,42,5,770,137,4,2785
AVeriTeC,164,conflicting,train,Conflicting-train,123,22,558,100,3,2654
AVeriTeC,165,refute,dev,Refuted,71,12,712,112,1,2756
AVeriTeC,166,conflicting,train,Conflicting-train,80,13,1129,202,1,3182
AVeriTeC,167,conflicting,train,Conflicting-train,78,14,1697,309,7,3748
AVeriTeC,168,refute,dev,Refuted,119,22,951,172,6,3043
AVeriTeC,169,conflicting,train,Conflicting-train,88,14,2261,335,5,4322
AVeriTeC,170,support,dev,Supported,162,25,1298,200,5,3433
AVeriTeC,171,conflicting,train,Conflicting-train,159,29,235,50,3,2367
AVeriTeC,172,refute,dev,Refuted,208,30,177,25,1,2358
AVeriTeC,173,refute,dev,Refuted,57,9,479,85,3,2509
AVeriTeC,174,support,dev,Supported,87,15,172,32,1,2232
AVeriTeC,175,support,dev,Supported,72,12,245,47,1,2290
AVeriTeC,176,conflicting,dev,Conflicting-dev-all,120,19,768,137,3,2861
AVeriTeC,177,refute,dev,Refuted,121,21,264,45,1,2358
AVeriTeC,178,conflicting,train,Conflicting-train,151,23,587,97,2,2711
AVeriTeC,179,conflicting,train,Conflicting-train,121,17,1733,299,4,3827
AVeriTeC,180,conflicting,train,Conflicting-train,50,7,626,98,3,2649
AVeriTeC,181,refute,dev,Refuted,162,24,851,141,2,2986
AVeriTeC,182,refute,dev,Refuted,130,19,708,117,3,2811
AVeriTeC,183,conflicting,train,Conflicting-train,72,12,847,154,6,2892
AVeriTeC,184,support,dev,Supported,88,14,294,57,1,2355
AVeriTeC,185,refute,dev,Refuted,208,34,2203,363,4,4384
AVeriTeC,186,support,dev,Supported,95,17,120,25,1,2188
AVeriTeC,187,refute,dev,Refuted,109,18,1315,239,5,3397
AVeriTeC,188,insufficient,dev,Not Enough Evidence,115,19,625,103,3,2713
AVeriTeC,189,refute,dev,Refuted,37,7,806,117,2,2816
AVeriTeC,190,insufficient,dev,Not Enough Evidence,87,15,380,67,1,2440
AVeriTeC,191,conflicting,train,Conflicting-train,88,18,487,92,5,2548
AVeriTeC,192,conflicting,train,Conflicting-train,130,24,2025,320,4,4128
AVeriTeC,193,conflicting,train,Conflicting-train,60,9,1497,229,4,3530
AVeriTeC,194,conflicting,dev,Conflicting-dev-all,141,19,1003,175,4,3117
AVeriTeC,195,conflicting,train,Conflicting-train,120,16,985,158,2,3078
AVeriTeC,196,support,dev,Supported,72,10,327,53,2,2372
AVeriTeC,197,conflicting,train,Conflicting-train,86,15,1500,265,3,3559
AVeriTeC,198,refute,dev,Refuted,185,31,1252,218,2,3410
AVeriTeC,199,conflicting,train,Conflicting-train,47,9,417,78,2,2437
AVeriTeC,200,insufficient,dev,Not Enough Evidence,125,20,4466,693,3,6564
AVeriTeC,201,conflicting,dev,Conflicting-dev-all,232,38,1542,247,4,3747
AVeriTeC,202,support,dev,Supported,78,13,366,65,2,2417
AVeriTeC,203,insufficient,dev,Not Enough Evidence,159,24,998,164,2,3130
AVeriTeC,204,conflicting,train,Conflicting-train,106,18,1978,281,2,4057
AVeriTeC,205,conflicting,train,Conflicting-train,90,13,349,56,1,2412
AVeriTeC,206,conflicting,train,Conflicting-train,73,11,608,101,3,2654
AVeriTeC,207,conflicting,train,Conflicting-train,46,6,420,73,2,2439
AVeriTeC,208,conflicting,dev,Conflicting-dev-all,160,27,861,157,3,2994
AVeriTeC,209,refute,dev,Refuted,117,21,1606,242,2,3696
AVeriTeC,210,support,dev,Supported,200,35,1215,196,2,3388
AVeriTeC,211,insufficient,dev,Not Enough Evidence,72,15,710,128,2,2755
AVeriTeC,212,refute,dev,Refuted,99,15,705,129,5,2777
AVeriTeC,213,conflicting,train,Conflicting-train,44,8,1348,234,3,3365
AVeriTeC,214,conflicting,dev,Conflicting-dev-all,174,26,267,42,1,2414
AVeriTeC,215,conflicting,dev,Conflicting-dev-all,125,23,583,99,3,2681
AVeriTeC,216,support,dev,Supported,140,25,328,58,3,2441
AVeriTeC,217,conflicting,train,Conflicting-train,23,3,770,126,4,2766
AVeriTeC,218,insufficient,dev,Not Enough Evidence,49,10,317,60,1,2339
AVeriTeC,219,conflicting,dev,Conflicting-dev-all,237,41,1447,214,2,3657
AVeriTeC,220,support,dev,Supported,85,14,346,56,1,2404
AVeriTeC,221,support,dev,Supported,111,15,239,34,1,2323
AVeriTeC,222,conflicting,train,Conflicting-train,42,7,907,155,2,2922
AVeriTeC,223,support,dev,Supported,130,21,1449,246,3,3552
AVeriTeC,224,refute,dev,Refuted,138,22,11491,1963,12,13602
AVeriTeC,225,refute,dev,Refuted,154,23,768,119,2,2895
AVeriTeC,226,support,dev,Supported,49,9,400,74,2,2422
AVeriTeC,227,support,dev,Supported,59,10,200,38,1,2232
AVeriTeC,228,conflicting,dev,Conflicting-dev-all,55,9,332,49,1,2360
AVeriTeC,229,support,dev,Supported,102,22,156,28,1,2231
AVeriTeC,230,refute,dev,Refuted,120,17,278,49,2,2371
AVeriTeC,231,conflicting,train,Conflicting-train,105,18,979,172,5,3057
AVeriTeC,232,insufficient,dev,Not Enough Evidence,72,15,1817,294,4,3862
AVeriTeC,233,conflicting,dev,Conflicting-dev-all,101,16,2468,393,7,4542
AVeriTeC,234,refute,dev,Refuted,182,26,374,66,1,2529
AVeriTeC,235,conflicting,train,Conflicting-train,59,10,3704,605,5,5736
AVeriTeC,236,refute,dev,Refuted,196,31,663,116,2,2832
AVeriTeC,237,insufficient,dev,Not Enough Evidence,111,17,60,12,1,2144
AVeriTeC,238,insufficient,dev,Not Enough Evidence,108,19,727,125,2,2808
AVeriTeC,239,support,dev,Supported,161,28,884,156,6,3018
AVeriTeC,240,conflicting,train,Conflicting-train,116,19,877,137,3,2966
AVeriTeC,241,refute,dev,Refuted,141,25,417,76,1,2531
AVeriTeC,242,conflicting,dev,Conflicting-dev-all,165,26,916,146,4,3054
AVeriTeC,243,conflicting,train,Conflicting-train,87,18,1379,240,4,3439
AVeriTeC,244,conflicting,train,Conflicting-train,70,10,610,102,3,2653
AVeriTeC,245,refute,dev,Refuted,89,16,537,93,2,2599
AVeriTeC,246,conflicting,dev,Conflicting-dev-all,153,24,330,61,2,2456
AVeriTeC,247,refute,dev,Refuted,113,19,290,49,1,2376
AVeriTeC,248,support,dev,Supported,122,22,105,21,1,2200
AVeriTeC,249,conflicting,train,Conflicting-train,34,6,234,46,1,2241
AVeriTeC,250,refute,dev,Refuted,126,24,228,42,1,2327
AVeriTeC,251,support,dev,Supported,82,15,579,98,2,2634
AVeriTeC,252,conflicting,train,Conflicting-train,80,13,692,121,3,2745
AVeriTeC,253,insufficient,dev,Not Enough Evidence,48,9,971,178,7,2992
AVeriTeC,254,conflicting,train,Conflicting-train,98,17,688,115,4,2759
AVeriTeC,255,conflicting,train,Conflicting-train,68,11,1645,280,2,3686
AVeriTeC,256,conflicting,train,Conflicting-train,173,33,1069,179,4,3215
AVeriTeC,257,conflicting,train,Conflicting-train,104,17,2462,415,8,4539
AVeriTeC,258,support,dev,Supported,81,15,293,46,1,2347
AVeriTeC,259,conflicting,train,Conflicting-train,48,9,645,123,3,2666
AVeriTeC,260,insufficient,dev,Not Enough Evidence,102,17,192,36,2,2267
AVeriTeC,261,conflicting,train,Conflicting-train,90,11,2272,332,6,4335
AVeriTeC,262,refute,dev,Refuted,51,10,2136,345,4,4160
AVeriTeC,263,conflicting,train,Conflicting-train,62,10,1046,187,7,3081
AVeriTeC,264,conflicting,train,Conflicting-train,39,8,585,103,2,2597
AVeriTeC,265,conflicting,train,Conflicting-train,62,12,477,82,3,2512
AVeriTeC,266,conflicting,dev,Conflicting-dev-all,53,7,737,123,3,2763
AVeriTeC,267,conflicting,train,Conflicting-train,242,35,1678,270,6,3893
AVeriTeC,268,insufficient,dev,Not Enough Evidence,136,20,1922,328,5,4031
AVeriTeC,269,conflicting,train,Conflicting-train,61,12,401,74,2,2435
AVeriTeC,270,conflicting,train,Conflicting-train,172,31,629,108,4,2774
AVeriTeC,271,refute,dev,Refuted,75,11,347,56,1,2395
AVeriTeC,272,refute,dev,Refuted,62,10,200,34,1,2235
AVeriTeC,273,support,dev,Supported,95,19,214,42,3,2282
AVeriTeC,274,support,dev,Supported,110,17,526,92,4,2609
AVeriTeC,275,conflicting,train,Conflicting-train,219,33,417,70,3,2609
AVeriTeC,276,support,dev,Supported,56,9,71,12,1,2100
AVeriTeC,277,support,dev,Supported,114,18,647,114,3,2734
AVeriTeC,278,conflicting,train,Conflicting-train,300,43,3418,519,5,5691
AVeriTeC,279,conflicting,dev,Conflicting-dev-all,81,13,566,97,3,2620
AVeriTeC,280,refute,dev,Refuted,49,7,91,14,1,2113
AVeriTeC,281,conflicting,train,Conflicting-train,107,15,1268,195,4,3348
AVeriTeC,282,conflicting,dev,Conflicting-dev-all,107,13,1974,317,4,4054
AVeriTeC,283,conflicting,train,Conflicting-train,58,10,1580,254,7,3611
AVeriTeC,284,insufficient,dev,Not Enough Evidence,66,13,172,35,2,2211
VitaminC-Mixed,0,conflicting,vitaminc-validation,mixed-composite,65,12,306,52,2,2344
VitaminC-Mixed,1,conflicting,vitaminc-validation,mixed-composite,58,12,146,26,2,2177
VitaminC-Mixed,2,conflicting,vitaminc-validation,mixed-composite,66,12,286,51,2,2325
VitaminC-Mixed,3,conflicting,vitaminc-validation,mixed-composite,54,9,329,59,2,2356
VitaminC-Mixed,4,conflicting,vitaminc-validation,mixed-composite,44,9,220,38,2,2237
VitaminC-Mixed,5,conflicting,vitaminc-validation,mixed-composite,80,14,476,90,2,2529
VitaminC-Mixed,6,conflicting,vitaminc-validation,mixed-composite,82,14,447,78,2,2502
VitaminC-Mixed,7,conflicting,vitaminc-validation,mixed-composite,52,11,223,38,2,2248
VitaminC-Mixed,8,conflicting,vitaminc-validation,mixed-composite,33,6,495,99,2,2501
VitaminC-Mixed,9,conflicting,vitaminc-validation,mixed-composite,39,7,508,91,2,2520
VitaminC-Mixed,10,conflicting,vitaminc-validation,mixed-composite,126,22,322,54,2,2421
VitaminC-Mixed,11,conflicting,vitaminc-validation,mixed-composite,61,11,314,54,2,2348
VitaminC-Mixed,12,conflicting,vitaminc-validation,mixed-composite,106,16,384,66,2,2463
VitaminC-Mixed,13,conflicting,vitaminc-validation,mixed-composite,98,20,278,54,2,2349
VitaminC-Mixed,14,conflicting,vitaminc-validation,mixed-composite,39,9,363,70,2,2375
VitaminC-Mixed,15,conflicting,vitaminc-validation,mixed-composite,84,16,162,32,2,2219
VitaminC-Mixed,16,conflicting,vitaminc-validation,mixed-composite,71,13,589,114,2,2633
VitaminC-Mixed,17,conflicting,vitaminc-validation,mixed-composite,74,17,166,37,2,2213
VitaminC-Mixed,18,conflicting,vitaminc-validation,mixed-composite,50,9,145,28,2,2168
VitaminC-Mixed,19,conflicting,vitaminc-validation,mixed-composite,169,29,388,70,2,2530
VitaminC-Mixed,20,conflicting,vitaminc-validation,mixed-composite,66,11,413,68,2,2452
VitaminC-Mixed,21,conflicting,vitaminc-validation,mixed-composite,58,11,351,65,2,2382
VitaminC-Mixed,22,conflicting,vitaminc-validation,mixed-composite,87,16,238,48,2,2298
VitaminC-Mixed,23,conflicting,vitaminc-validation,mixed-composite,64,13,314,60,2,2351
VitaminC-Mixed,24,conflicting,vitaminc-validation,mixed-composite,81,17,364,72,2,2418
VitaminC-Mixed,25,conflicting,vitaminc-validation,mixed-composite,49,9,306,52,2,2328
VitaminC-Mixed,26,conflicting,vitaminc-validation,mixed-composite,62,14,308,56,2,2343
VitaminC-Mixed,27,conflicting,vitaminc-validation,mixed-composite,64,13,280,55,2,2317
VitaminC-Mixed,28,conflicting,vitaminc-validation,mixed-composite,84,13,184,30,2,2241
VitaminC-Mixed,29,conflicting,vitaminc-validation,mixed-composite,89,13,260,46,2,2322
VitaminC-Mixed,30,conflicting,vitaminc-validation,mixed-composite,84,17,284,56,2,2341
VitaminC-Mixed,31,conflicting,vitaminc-validation,mixed-composite,84,16,432,92,2,2489
VitaminC-Mixed,32,conflicting,vitaminc-validation,mixed-composite,48,8,181,28,2,2202
VitaminC-Mixed,33,conflicting,vitaminc-validation,mixed-composite,77,12,316,54,2,2366
VitaminC-Mixed,34,conflicting,vitaminc-validation,mixed-composite,65,10,626,96,2,2664
VitaminC-Mixed,35,conflicting,vitaminc-validation,mixed-composite,79,15,164,34,2,2216
VitaminC-Mixed,36,conflicting,vitaminc-validation,mixed-composite,38,8,1078,193,2,3089
VitaminC-Mixed,37,conflicting,vitaminc-validation,mixed-composite,38,8,296,49,2,2307
VitaminC-Mixed,38,conflicting,vitaminc-validation,mixed-composite,54,10,281,52,2,2308
VitaminC-Mixed,39,conflicting,vitaminc-validation,mixed-composite,75,14,222,43,2,2270
VitaminC-Mixed,40,conflicting,vitaminc-validation,mixed-composite,62,11,262,50,2,2297
VitaminC-Mixed,41,conflicting,vitaminc-validation,mixed-composite,52,9,190,32,2,2215
VitaminC-Mixed,42,conflicting,vitaminc-validation,mixed-composite,67,13,225,44,2,2265
VitaminC-Mixed,43,conflicting,vitaminc-validation,mixed-composite,104,20,296,52,2,2373
VitaminC-Mixed,44,conflicting,vitaminc-validation,mixed-composite,31,5,308,59,2,2312
VitaminC-Mixed,45,conflicting,vitaminc-validation,mixed-composite,58,13,460,86,2,2491
VitaminC-Mixed,46,conflicting,vitaminc-validation,mixed-composite,52,9,505,83,2,2530
VitaminC-Mixed,47,conflicting,vitaminc-validation,mixed-composite,45,8,98,17,2,2116
VitaminC-Mixed,48,conflicting,vitaminc-validation,mixed-composite,52,7,455,68,2,2480
VitaminC-Mixed,49,conflicting,vitaminc-validation,mixed-composite,44,9,156,28,2,2173
VitaminC-Mixed,50,conflicting,vitaminc-validation,mixed-composite,58,10,176,34,2,2207
VitaminC-Mixed,51,conflicting,vitaminc-validation,mixed-composite,32,8,246,42,2,2251
VitaminC-Mixed,52,conflicting,vitaminc-validation,mixed-composite,66,14,238,52,2,2277
VitaminC-Mixed,53,conflicting,vitaminc-validation,mixed-composite,48,12,191,38,2,2212
VitaminC-Mixed,54,conflicting,vitaminc-validation,mixed-composite,43,8,343,60,2,2359
VitaminC-Mixed,55,conflicting,vitaminc-validation,mixed-composite,52,10,204,39,2,2229
VitaminC-Mixed,56,conflicting,vitaminc-validation,mixed-composite,48,9,167,34,2,2188
VitaminC-Mixed,57,conflicting,vitaminc-validation,mixed-composite,70,13,348,70,2,2391
VitaminC-Mixed,58,conflicting,vitaminc-validation,mixed-composite,69,13,232,47,2,2274
VitaminC-Mixed,59,conflicting,vitaminc-validation,mixed-composite,51,10,305,57,2,2329
VitaminC-Mixed,60,conflicting,vitaminc-validation,mixed-composite,115,19,304,56,2,2392
VitaminC-Mixed,61,conflicting,vitaminc-validation,mixed-composite,38,7,254,49,2,2265
VitaminC-Mixed,62,conflicting,vitaminc-validation,mixed-composite,48,9,483,92,2,2504
VitaminC-Mixed,63,conflicting,vitaminc-validation,mixed-composite,43,8,239,48,2,2255
VitaminC-Mixed,64,conflicting,vitaminc-validation,mixed-composite,30,6,219,40,2,2222
VitaminC-Mixed,65,conflicting,vitaminc-validation,mixed-composite,69,14,140,28,2,2182
VitaminC-Mixed,66,conflicting,vitaminc-validation,mixed-composite,65,12,425,78,2,2463
